,A_exchangeRate,A_istVol,A_marketValue,A_marketValue1,A_negotiableValue,A_negotiableValue1,A_productType,A_profitRate,A_profitRate1,A_searchDate,A_trdAmt,A_trdAmt1,A_trdTm,A_trdTm1,A_trdVol,A_trdVol1,B_exchangeRate,B_istVol,B_marketValue,B_marketValue1,B_negotiableValue,B_negotiableValue1,B_productType,B_profitRate,B_profitRate1,B_searchDate,B_trdAmt,B_trdAmt1,B_trdTm,B_trdTm1,B_trdVol,B_trdVol1,SH_exchangeRate,SH_istVol,SH_marketValue,SH_marketValue1,SH_negotiableValue,SH_negotiableValue1,SH_productType,SH_profitRate,SH_profitRate1,SH_searchDate,SH_trdAmt,SH_trdAmt1,SH_trdTm,SH_trdTm1,SH_trdVol,SH_trdVol1,date
6384,1.3795,725,29062.92,29062.9152144119,8118.21,8118.2053114053,1,37.87,37.867,2003-05-19,111.39,111.39019384,104.55,104.5495,132105.97,132105.9697,0.2892,54,451.52,451.5195376125,451.52,451.5195376125,2,33.11,33.107,2003-05-19,1.22,1.22210374,1.12,1.1192,2670.6,2670.6007,1.2836,779,29514.43,29514.4347520244,8569.72,8569.7248490178,12,37.79,37.79,2003-05-19,112.61,112.61229758,105.67,105.6687,134776.57,134776.5704,2003-05-19
6385,,,,,,,1,,,1997-08-30,,,,,,,,,,,,,2,,,1997-08-30,,,,,,,,,,,,,12,,,1997-08-30,,,,,,,1997-08-30
6386,0.6232,882,181916.58,181916.5759019039,142963.65,142963.6474914965,1,22.05,22.048,2010-12-22,1259.46,1259.45740065,658.29,658.2901,979753.62,979753.6198,0.3887,54,1021.29,1021.2888784506,1021.29,1021.2888784506,2,24.12,24.123,2010-12-22,3.28,3.277877,2.55,2.5521,5046.76,5046.7604,0.6213,936,182937.86,182937.8647803545,143984.94,143984.9363699471,12,22.06,22.058,2010-12-22,1262.74,1262.73527765,660.84,660.8422,984800.38,984800.3802,2010-12-22
6387,,,,,,,1,,,1998-05-03,,,,,,,,,,,,,2,,,1998-05-03,,,,,,,,,,,,,12,,,1998-05-03,,,,,,,1998-05-03
6388,,,,,,,1,,,2008-12-07,,,,,,,,,,,,,2,,,2008-12-07,,,,,,,,,,,,,12,,,2008-12-07,,,,,,,2008-12-07
6389,0.8372,854,113093.46,113093.4592752825,34227.36,34227.355611157,1,17.42,17.415,2008-09-08,275.34,275.34348901,269.62,269.6164,373788.73,373788.7254,0.2398,54,479.83,479.8267153646,479.83,479.8267153646,2,14.94,14.942,2008-09-08,1.35,1.34965939,1.61,1.6075,2906.25,2906.2531,0.8214,908,113573.29,113573.2859906471,34707.18,34707.1823265216,12,17.4,17.403,2008-09-08,276.69,276.6931484,271.22,271.2239,376694.98,376694.9785,2008-09-08
6390,1.5831,792,33549.97,33549.9694820582,9146.48,9146.4809020045,1,41.34,41.339,2004-04-16,143.89,143.88948838,141.07,141.0711,173431.69,173431.6933,0.1796,54,450.21,450.2063203971,450.21,450.2063203971,2,32.89,32.891,2004-04-16,0.78,0.78230445,0.83,0.8339,1722.75,1722.7454,1.4701,846,34000.18,34000.1758024553,9596.69,9596.6872224016,12,41.21,41.209,2004-04-16,144.67,144.67179283,141.91,141.905,175154.44,175154.4387,2004-04-16
6391,,,,,,,1,,,1998-06-21,,,,,,,,,,,,,2,,,1998-06-21,,,,,,,,,,,,,12,,,1998-06-21,,,,,,,1998-06-21
6392,-,365,,,,,1,,,1997-11-11,29.61,29.60667562,43.77,43.7717,27516.61,27516.6106,-,44,,,,,2,,,1997-11-11,0.32,0.31861699,0.09,0.0916,940.2,940.2003,-,409,,,,,12,,,1997-11-11,29.93,29.92529261,43.86,43.8633,28456.81,28456.8109,1997-11-11
6393,0.2883,935,152030.06,152030.0605631842,125447.6,125447.598875063,1,11.88,11.878,2012-06-26,474.14,474.13563528,277.61,277.6059,530802.81,530802.812,0.2198,54,749.78,749.7821894143,749.78,749.7821894143,2,11.97,11.966,2012-06-26,1.95,1.94552138,1.52,1.5247,2979.99,2979.989,0.2878,989,152779.84,152779.8427525985,126197.38,126197.3810644773,12,11.88,11.878,2012-06-26,476.11,476.11190766,279.13,279.1311,533910.8,533910.801,2012-06-26
6394,3.1436,479,19714.93,19714.9327686974,5846.58,5846.5804932538,1,50.79,50.793,2000-04-10,161.64,161.63667614,172.05,172.0516,136120.82,136120.8167,0.1742,54,155.54,155.5384743359,155.54,155.5384743359,2,11.23,11.225,2000-04-10,0.28,0.28099,0.14,0.1427,1419.02,1419.0175,2.6733,533,19870.47,19870.4712430333,6002.12,6002.1189675897,12,49.37,49.372,2000-04-10,161.92,161.91766614,172.19,172.1943,137539.83,137539.8342,2000-04-10
